Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.79,-41.06,belle (grounded),8/16/2019
A63,11,3,-76.29,-46.76,belle (grounded),8/16/2019
A64,16,11,-69.73,-60.98,belle (grounded),8/16/2019
A68A,82,26,-65.22,-57.98,belle,8/16/2019
A68B,7,3,-64.63,-58.73,belle,8/16/2019
B09B,27,9,-66.26,143.34,wilke ,8/16/2019
B09G,12,7,-67.96,41.71,amerw,8/16/2019
B09I,12,6,-64.74,60.97,amere,8/16/2019
B15AA,11,6,-60.60,-37.74,belle,8/16/2019
B15AB,11,4,-66.01,51.13,amerw (grounded),8/16/2019
B16,16,6,-58.71,-41.65,belle,8/16/2019
B22A,44,24,-74.01,-109.21,amune (grounded),8/16/2019
B28,10,7,-74.70,-108.79,amune (grounded),8/16/2019
B29,11,5,-74.53,-108.92,amune (grounded),8/16/2019
B37,8,3,-73.09,-109.03,amune,8/16/2019
B38,6,4,-76.99,-155.08,rosse,8/16/2019
B39,8,4,-65.16,91.48,wilkw,8/16/2019
B40,8,5,-65.64,132.19,wilke (grounded),8/16/2019
B42,13,5,-73.03,-125.65,amunw (grounded),8/16/2019
B43,10,5,-75.27,-166.43,rosse,8/16/2019
B45,8,6,-74.70,-109.37,amune (grounded),8/16/2019
B46,10,4,-74.33,-104.97,amune,8/16/2019
C15,14,10,-66.08,143.41,wilke (grounded),8/16/2019
C18B,20,4,-65.46,113.87,wilkw (grounded),8/16/2019
C21B,12,8,-64.99,95.86,wilkw (grounded),8/16/2019
C24,11,3,-64.84,96.03,wilkw (grounded),8/16/2019
C29,5,5,-66.10,142.84,wilke (grounded),8/16/2019
C30,9,3,-64.78,96.30,wilkw (grounded),8/16/2019
C31,9,3,-64.69,96.52,wilkw (grounded),8/16/2019
C33,8,4,-66.38,144.37,wilke,8/16/2019
C34,11,5,-64.87,136.74,wilke,8/16/2019
C35,12,5,-68.24,148.21,wilke (grounded),8/16/2019
C36,23,16,-68.11,147.84,wilke (grounded),8/16/2019
D15A,51,24,-66.64,81.91,amere (grounded),8/16/2019
D15B,33,12,-66.99,81.57,amere (grounded),8/16/2019
D20A,20,9,-68.90,36.35,amerw (grounded),8/16/2019
D21B,11,4,-77.51,-38.41,belle,8/16/2019
D22,11,2,-66.56,78.84,amere,8/16/2019
D23,8,6,-69.43,74.67,amere (grounded),8/16/2019
D26,19,2,-69.41,29.33,wedde (grounded),8/16/2019
D27,8,5,-67.27,81.87,amere (grounded),8/16/2019
